VarSet	MinCount	Vars	AvgCount	Genes	Oncog	TSG	Both	Unknown	Oncog_Vars	Oncog_%	Oncog_AvgCount	TSG_Vars	TSG_%	TSG_AvgCount	KnownA_Vars	KnownA_%	KnownA_AvgCount	KnownR_Vars	KnownR_%	KnownR_AvgCount	KnownD_Vars	KnownD_%	KnownD_AvgCount	KnownN_Vars	KnownN_%	KnownN_AvgCount	PredA_Vars	PredA_%	PredA_AvgCount	PredD_Vars	PredD_%	PredD_AvgCount	PredR_Vars	PredR_%	PredR_AvgCount	Onco_PredA_Vars	Onco_PredA_%	Onco_PredA_AvgCount	Onco_PredD_Vars	Onco_PredD_%	Onco_PredD_AvgCount	Onco_PredR_Vars	Onco_PredR_%	Onco_PredR_AvgCount	TSG_PredA_Vars	TSG_PredA_%	TSG_PredA_AvgCount	TSG_PredD_Vars	TSG_PredD_%	TSG_PredD_AvgCount	TSG_PredR_Vars	TSG_PredR_%	TSG_PredR_AvgCount
all	>0	4288	15.9	423	56	19	10	356	1452	33.86%	42.17	364	8.49%	3.26	49	1.14%	1081.84	73	1.7%	593.9	20	0.47%	7.15	35	0.82%	4.23	3078	71.78%	18.71	1210	28.22%	8.73	1048	24.44%	16.86	1047	72.11%	50.29	405	27.89%	21.16	431	29.68%	37.43	200	54.95%	3.28	164	45.05%	3.24	112	30.77%	3.64
all	>1	4288	15.9	423	56	19	10	356	1452	33.86%	42.17	364	8.49%	3.26	49	1.14%	1081.84	73	1.7%	593.9	20	0.47%	7.15	35	0.82%	4.23	3078	71.78%	18.71	1210	28.22%	8.73	1048	24.44%	16.86	1047	72.11%	50.29	405	27.89%	21.16	431	29.68%	37.43	200	54.95%	3.28	164	45.05%	3.24	112	30.77%	3.64
all	>2	1285	48.37	302	51	18	10	242	677	52.68%	88.14	130	10.12%	5.54	45	3.5%	1177.82	65	5.06%	666.75	11	0.86%	11.36	23	1.79%	5.39	918	71.44%	58.04	367	28.56%	24.19	368	28.64%	44.32	501	74.0%	102.92	176	26.0%	46.08	232	34.27%	67.81	66	50.77%	5.88	64	49.23%	5.19	41	31.54%	6.49
all	>5	296	198.32	72	37	10	6	31	242	81.76%	240.11	26	8.78%	13.73	39	13.18%	1358.49	50	16.89%	865.54	6	2.03%	18.0	6	2.03%	10.0	222	75.0%	229.09	74	25.0%	105.99	124	41.89%	124.52	187	77.27%	269.72	55	22.73%	139.42	109	45.04%	140.18	11	42.31%	18.18	15	57.69%	10.47	12	46.15%	13.5
all	>10	148	389.22	33	27	6	4	4	139	93.92%	412.39	8	5.41%	29.0	31	20.95%	1707.16	37	25.0%	1167.11	4	2.7%	24.0	2	1.35%	13.5	119	80.41%	420.91	29	19.59%	259.21	75	50.68%	201.08	113	81.29%	441.3	26	18.71%	286.73	71	51.08%	211.27	4	50.0%	37.5	4	50.0%	20.5	4	50.0%	27.75
all	>20	82	691.23	19	17	2	1	1	79	96.34%	714.91	3	3.66%	52.0	27	32.93%	1958.19	26	31.71%	1655.08	2	2.44%	36.0	0	0.0%	nan	68	82.93%	726.06	14	17.07%	522.07	49	59.76%	300.14	66	83.54%	745.58	13	16.46%	559.23	48	60.76%	305.58	2	66.67%	58.5	1	33.33%	39.0	2	66.67%	44.0
all	>30	57	983.49	18	16	2	1	1	54	94.74%	1034.37	3	5.26%	52.0	23	40.35%	2294.74	21	36.84%	2043.38	2	3.51%	36.0	0	0.0%	nan	49	85.96%	998.06	8	14.04%	894.25	37	64.91%	389.7	47	87.04%	1037.04	7	12.96%	1016.43	36	66.67%	399.44	2	66.67%	58.5	1	33.33%	39.0	2	66.67%	44.0
gws	>0	3629	2.56	423	56	19	10	356	960	26.45%	3.43	258	7.11%	2.41	39	1.07%	33.95	38	1.05%	31.03	14	0.39%	4.93	31	0.85%	2.81	2610	71.92%	2.68	1019	28.08%	2.25	845	23.28%	2.5	701	73.02%	3.84	259	26.98%	2.3	269	28.02%	3.01	135	52.33%	2.4	123	47.67%	2.41	80	31.01%	2.49
gws	>1	3063	2.85	422	55	19	10	356	594	19.39%	4.92	183	5.97%	2.98	32	1.04%	41.16	31	1.01%	37.81	12	0.39%	5.58	26	0.85%	3.15	2219	72.45%	2.98	844	27.55%	2.51	700	22.85%	2.82	439	73.91%	5.54	155	26.09%	3.17	171	28.79%	4.17	95	51.91%	2.99	88	48.09%	2.98	58	31.69%	3.05
gws	>2	650	6.02	279	47	15	9	225	183	28.15%	11.49	38	5.85%	6.74	28	4.31%	46.75	24	3.69%	48.25	5	0.77%	10.6	17	2.62%	3.76	474	72.92%	6.59	176	27.08%	4.46	162	24.92%	5.52	143	78.14%	12.87	40	21.86%	6.53	67	36.61%	7.54	15	39.47%	8.27	23	60.53%	5.74	14	36.84%	6.36
gws	>5	87	22.67	45	19	7	4	23	54	62.07%	30.43	10	11.49%	15.9	21	24.14%	61.1	14	16.09%	79.86	2	2.3%	21.5	1	1.15%	6.0	66	75.86%	26.03	21	24.14%	12.1	35	40.23%	13.09	41	75.93%	35.98	13	24.07%	12.92	27	50.0%	13.3	5	50.0%	18.4	5	50.0%	13.4	3	30.0%	16.33
gws	>10	27	56.96	14	11	3	2	2	22	81.48%	63.55	4	14.81%	29.25	12	44.44%	101.5	7	25.93%	152.29	1	3.7%	37.0	0	0.0%	nan	23	85.19%	61.7	4	14.81%	29.75	13	48.15%	22.46	19	86.36%	69.26	3	13.64%	27.33	11	50.0%	21.45	3	75.0%	26.67	1	25.0%	37.0	1	25.0%	37.0
gws	>20	10	128.8	5	4	1	0	0	8	80.0%	150.0	2	20.0%	44.0	6	60.0%	189.33	2	20.0%	497.0	1	10.0%	37.0	0	0.0%	nan	8	80.0%	149.25	2	20.0%	47.0	5	50.0%	34.6	7	87.5%	163.29	1	12.5%	57.0	4	50.0%	34.0	1	50.0%	51.0	1	50.0%	37.0	1	50.0%	37.0
gws	>30	6	197.0	3	2	1	0	0	4	66.67%	273.5	2	33.33%	44.0	3	50.0%	352.33	1	16.67%	966.0	1	16.67%	37.0	0	0.0%	nan	4	66.67%	272.0	2	33.33%	47.0	2	33.33%	47.0	3	75.0%	345.67	1	25.0%	57.0	1	25.0%	57.0	1	50.0%	51.0	1	50.0%	37.0	1	50.0%	37.0
