ENSP00000388553	54
ENSP00000435938	57
ENSP00000406963	216
ENSP00000360256	104
ENSP00000363745	66
ENSP00000371137	83
ENSP00000356222	6
ENSP00000389427	6
ENSP00000451249	317
ENSP00000312782	75
ENSP00000479173	2
ENSP00000428086	205
ENSP00000380361	52
ENSP00000371001	71
ENSP00000386777	169
ENSP00000422262	39
ENSP00000474456	58
ENSP00000397487	7
ENSP00000477464	4
ENSP00000476788	78
ENSP00000480937	833
ENSP00000468446	3
ENSP00000314727	31
ENSP00000413701	89
ENSP00000384442	78
ENSP00000400672	3
ENSP00000386780	81
ENSP00000407043	109
ENSP00000366931	34
ENSP00000441251	134
ENSP00000440496	44
ENSP00000434515	99
ENSP00000346432	27
ENSP00000493703	148
ENSP00000401956	53
ENSP00000456051	3
ENSP00000417056	74
ENSP00000479265	1
ENSP00000440618	22
ENSP00000479628	54
ENSP00000343317	30
ENSP00000336816	48
ENSP00000315873	981
ENSP00000445419	93
ENSP00000445635	43
ENSP00000402679	169
ENSP00000321850	70
ENSP00000382179	1
ENSP00000388148	6
ENSP00000378030	33
ENSP00000387998	131
ENSP00000417518	101
ENSP00000365803	1
ENSP00000479807	280
ENSP00000345096	104
ENSP00000435307	188
ENSP00000359342	1
ENSP00000379197	8
ENSP00000335655	7
ENSP00000484586	43
ENSP00000358331	6
ENSP00000368845	11
ENSP00000414402	536
ENSP00000400350	2
ENSP00000346976	82
ENSP00000355728	224
ENSP00000387289	37
ENSP00000468181	71
ENSP00000311984	13
ENSP00000493815	58
ENSP00000316861	52
ENSP00000391912	11
ENSP00000397661	19
ENSP00000386760	15
ENSP00000423661	89
ENSP00000418442	6
ENSP00000468937	132
ENSP00000217195	39
ENSP00000374067	405
ENSP00000442110	1
ENSP00000291901	16
ENSP00000454598	17
ENSP00000417422	16
ENSP00000480026	106
ENSP00000423762	3
ENSP00000451652	64
ENSP00000376909	98
ENSP00000456729	259
ENSP00000477773	21
ENSP00000456574	57
ENSP00000322519	3
ENSP00000288745	171
ENSP00000377997	374
ENSP00000446401	48
ENSP00000433338	115
ENSP00000406661	21
ENSP00000377719	77
ENSP00000339220	71
ENSP00000486705	52
ENSP00000430167	87
ENSP00000371264	6
ENSP00000383917	87
ENSP00000377587	30
ENSP00000311293	57
ENSP00000478019	108
ENSP00000282007	35
ENSP00000374296	1
ENSP00000305147	590
ENSP00000377125	49
ENSP00000381847	2
ENSP00000366522	67
ENSP00000495983	483
ENSP00000448779	109
ENSP00000453792	162
ENSP00000419547	96
ENSP00000417393	81
ENSP00000365409	130
ENSP00000312870	2
ENSP00000359027	181
ENSP00000436113	162
ENSP00000398375	59
ENSP00000377248	104
ENSP00000353032	77
ENSP00000370879	16
