#SS
N-term-β1 aquamarine
β1 aquamarine
Gly-rich-loop aquamarine
β1/β2-loop aquamarine
β2 aquamarine
β2/β3-loop aquamarine
β3 aquamarine
Catalytic-Lys aquamarine
β3/αC-loop cyan
αC cyan
αC/β4-loop cyan
β4 greencyan
β4/β5-loop greencyan
β5 greencyan
β5/αD-loop olive
αD olive
αD/αE-loop sulfur
αE sulfur
Catalytic-loop sulfur
HrD-motif sulfur
A-loop deepteal
DFG-motif deepteal
APE-motif deepteal
αF brown
αF/αG deepsalmon
αG deepsalmon
αG/αH wheat
αH wheat
αH/αI lighblue
αI lighblue
C-term-αI lighblue
