1a06	A	Q63450	PF00069	1
1a9u	A	Q16539	PF00069	1
1apm	E	P05132	PF00069	1
1aq1	A	P24941	PF00069	1
1atp	E	P05132	PF00069	1
1b38	A	P24941	PF00069	1
1b39	A	P24941	PF00069	1
1b6c	B	P36897	PF00069	1
1b6c	D	P36897	PF00069	1
1b6c	F	P36897	PF00069	1
1b6c	H	P36897	PF00069	1
1bi7	A	Q00534	PF00069	1
1bi8	A	Q00534	PF00069	1
1bi8	C	Q00534	PF00069	1
1bkx	A	P05132	PF00069	1
1bl6	A	Q16539	PF00069	1
1bl7	A	Q16539	PF00069	1
1blx	A	Q00534	PF00069	1
1bmk	A	Q16539	PF00069	1
1buh	A	P24941	PF00069	1
1bx6	A	P05132	PF00069	1
1cdk	A	P36887	PF00069	1
1cdk	B	P36887	PF00069	1
1cki	A	Q06486	PF00069	1
1cki	B	Q06486	PF00069	1
1ckj	A	Q06486	PF00069	1
1ckj	B	Q06486	PF00069	1
1ckp	A	P24941	PF00069	1
1cm8	A	P53778	PF00069	1
1cm8	B	P53778	PF00069	1
1cmk	E	P36887	PF00069	1
1csn	A	P40233	PF00069	1
1ctp	E	P36887	PF00069	1
1daw	A	P28523	PF00069	1
1day	A	P28523	PF00069	1
1di8	A	P24941	PF00069	1
1di9	A	Q16539	PF00069	1
1dm2	A	P24941	PF00069	1
1ds5	A	P28523	PF00069	1
1ds5	B	P28523	PF00069	1
1ds5	C	P28523	PF00069	1
1ds5	D	P28523	PF00069	1
1e1v	A	P24941	PF00069	1
1e1x	A	P24941	PF00069	1
1e9h	A	P24941	PF00069	1
1e9h	C	P24941	PF00069	1
1eh4	A	P40233	PF00069	1
1eh4	B	P40233	PF00069	1
1f0q	A	P28523	PF00069	1
1f3m	C	Q13153	PF00069	1
1f3m	D	Q13153	PF00069	1
1f5q	A	P24941	PF00069	1
1f5q	C	P24941	PF00069	1
1fin	A	P24941	PF00069	1
1fin	C	P24941	PF00069	1
1fmo	E	P05132	PF00069	1
1fot	A	P06244	PF00069	1
1fq1	B	P24941	PF00069	1
1fvt	A	P24941	PF00069	1
1fvv	A	P24941	PF00069	1
1fvv	C	P24941	PF00069	1
1g3n	A	Q00534	PF00069	1
1g3n	E	Q00534	PF00069	1
1g5s	A	P24941	PF00069	1
1gih	A	P24941	PF00069	1
1gii	A	P24941	PF00069	1
1gij	A	P24941	PF00069	1
1gng	A	P49841	PF00069	1
1gng	B	P49841	PF00069	1
1gol	A	P63086	PF00069	1
1gy3	A	P24941	PF00069	1
1gy3	C	P24941	PF00069	1
1gz8	A	P24941	PF00069	1
1gzk	A	P31751	PF00069	1
1gzn	A	P31751	PF00069	1
1gzo	A	P31751	PF00069	1
1h00	A	P24941	PF00069	1
1h01	A	P24941	PF00069	1
1h07	A	P24941	PF00069	1
1h08	A	P24941	PF00069	1
1h0v	A	P24941	PF00069	1
1h0w	A	P24941	PF00069	1
1h1p	A	P24941	PF00069	1
1h1p	C	P24941	PF00069	1
1h1q	A	P24941	PF00069	1
1h1q	C	P24941	PF00069	1
1h1r	A	P24941	PF00069	1
1h1r	C	P24941	PF00069	1
1h1s	A	P24941	PF00069	1
1h1s	C	P24941	PF00069	1
1h1w	A	O15530	PF00069	1
1h24	A	P24941	PF00069	1
1h24	C	P24941	PF00069	1
1h25	A	P24941	PF00069	1
1h25	C	P24941	PF00069	1
1h26	A	P24941	PF00069	1
1h26	C	P24941	PF00069	1
1h27	A	P24941	PF00069	1
1h27	C	P24941	PF00069	1
1h28	A	P24941	PF00069	1
1h28	C	P24941	PF00069	1
1h4l	A	Q00535	PF00069	1
1h4l	B	Q00535	PF00069	1
1h8f	A	P49841	PF00069	1
1h8f	B	P49841	PF00069	1
1hck	A	P24941	PF00069	1
1hcl	A	P24941	PF00069	1
1how	A	Q03656	PF00069	0.949
1how	A	Q03656	PF00069	0.936
1i09	A	P49841	PF00069	1
1i09	B	P49841	PF00069	1
1ia8	A	O14757	PF00069	1
1ian	A	Q16539	PF00069	1
1ias	A	P36897	PF00069	1
1ias	B	P36897	PF00069	1
