VarSet	MinCount	Vars	TotVars	AvgCount	Genes	Oncog	TSG	Both	Unknown	Oncog_Vars	Oncog_%	Oncog_AvgCount	TSG_Vars	TSG_%	TSG_AvgCount	KnownA_Vars	KnownA_%	KnownA_TotCount	KnownA_TotCount_%	KnownA_AvgCount	KnownA_Genes	KnownR_Vars	KnownR_%	KnownR_TotCount	KnownR_TotCount_%	KnownR_AvgCount	KnownR_Genes	KnownD_Vars	KnownD_%	KnownD_TotCount	KnownD_TotCount_%	KnownD_AvgCount	KnownD_Genes	KnownN_Vars	KnownN_%	KnownN_TotCount	KnownN_TotCount_%	KnownN_AvgCount	KnownN_Genes	PredA_Vars	PredA_%	PredA_TotCount	PredA_TotCount_%	PredA_AvgCount	PredA_Genes	PredD_Vars	PredD_%	PredD_TotCount	PredD_TotCount_%	PredD_AvgCount	PredD_Genes	PredU_Vars	PredU_%	PredU_TotCount	PredU_TotCount_%	PredU_AvgCount	PredU_Genes	PredR_Vars	PredR_%	PredR_TotCount	PredR_TotCount_%	PredR_AvgCount	PredR_Genes	Onco_PredA_Vars	Onco_PredA_%	Onco_PredA_AvgCount	Onco_PredD_Vars	Onco_PredD_%	Onco_PredD_AvgCount	Onco_PredR_Vars	Onco_PredR_%	Onco_PredR_AvgCount	TSG_PredA_Vars	TSG_PredA_%	TSG_PredA_AvgCount	TSG_PredD_Vars	TSG_PredD_%	TSG_PredD_AvgCount	TSG_PredR_Vars	TSG_PredR_%	TSG_PredR_AvgCount
all	>0	4339	141932	32.71	429	55	19	10	361	1482	34.16%	89.78	359	8.27%	4.79	52	1.2%	121371	85.51%	2334.06	21	71	1.64%	58620	41.3%	825.63	15	20	0.46%	187	0.13%	9.35	12	38	0.88%	328	0.23%	8.63	33	2758	63.56%	133436	94.01%	48.38	417	1023	23.58%	5498	3.87%	5.37	337	558	12.86%	2998	2.11%	5.37	258	1235	28.46%	81154	57.18%	65.71	344	975	65.79%	131.36	336	22.67%	9.7	521	35.16%	151.38	170	47.35%	4.78	147	40.95%	5.18	141	39.28%	4.65
all	>1	4326	141919	32.81	429	55	19	10	361	1478	34.17%	90.02	358	8.28%	4.8	52	1.2%	121371	85.52%	2334.06	21	70	1.62%	58619	41.3%	837.41	15	20	0.46%	187	0.13%	9.35	12	38	0.88%	328	0.23%	8.63	33	2747	63.5%	133425	94.01%	48.57	417	1022	23.62%	5497	3.87%	5.38	337	557	12.88%	2997	2.11%	5.38	258	1232	28.48%	81151	57.18%	65.87	344	972	65.76%	131.76	336	22.73%	9.7	519	35.12%	151.96	169	47.21%	4.8	147	41.06%	5.18	141	39.39%	4.65
all	>2	2056	137379	66.82	373	53	18	10	308	938	45.62%	140.7	204	9.92%	6.91	50	2.43%	121367	88.34%	2427.34	20	67	3.26%	58613	42.67%	874.82	15	16	0.78%	179	0.13%	11.19	10	37	1.8%	326	0.24%	8.81	33	1334	64.88%	130599	95.06%	97.9	330	455	22.13%	4363	3.18%	9.59	192	267	12.99%	2417	1.76%	9.05	146	614	29.86%	79915	58.17%	130.15	192	634	67.59%	200.94	199	21.22%	15.0	351	37.42%	223.74	97	47.55%	6.88	83	40.69%	7.64	77	37.75%	6.84
all	>5	568	132010	232.41	147	44	15	8	92	385	67.78%	337.57	59	10.39%	14.9	47	8.27%	121355	91.93%	2582.02	19	57	10.04%	58577	44.37%	1027.67	15	7	1.23%	145	0.11%	20.71	5	25	4.4%	278	0.21%	11.12	22	389	68.49%	127181	96.34%	326.94	118	120	21.13%	3164	2.4%	26.37	57	59	10.39%	1665	1.26%	28.22	36	231	40.67%	78538	59.49%	339.99	63	284	73.77%	444.05	63	16.36%	39.7	180	46.75%	432.81	25	42.37%	16.2	30	50.85%	14.77	24	40.68%	13.92
all	>10	228	129522	568.08	56	31	11	6	19	189	82.89%	680.04	20	8.77%	29.95	36	15.79%	121275	93.63%	3368.75	13	41	17.98%	58455	45.13%	1425.73	14	6	2.63%	138	0.11%	23.0	5	5	2.19%	131	0.1%	26.2	3	154	67.54%	125468	96.87%	814.73	40	46	20.18%	2632	2.03%	57.22	21	28	12.28%	1422	1.1%	50.79	15	124	54.39%	77741	60.02%	626.94	32	137	72.49%	912.67	29	15.34%	77.9	110	58.2%	703.42	6	30.0%	44.5	14	70.0%	23.71	10	50.0%	23.9
all	>20	129	128084	992.9	35	25	8	4	5	112	86.82%	1137.46	11	8.53%	43.09	29	22.48%	121161	94.59%	4177.97	10	32	24.81%	58334	45.54%	1822.94	12	3	2.33%	94	0.07%	31.33	3	1	0.78%	55	0.04%	55.0	1	91	70.54%	124540	97.23%	1368.57	26	23	17.83%	2322	1.81%	100.96	11	15	11.63%	1222	0.95%	81.47	11	82	63.57%	77137	60.22%	940.7	23	83	74.11%	1496.75	17	15.18%	124.0	76	67.86%	1011.66	4	36.36%	60.25	7	63.64%	33.29	5	45.45%	33.8
all	>30	89	127069	1427.74	24	19	5	2	1	81	91.01%	1562.9	6	6.74%	58.33	29	32.58%	121161	95.35%	4177.97	10	25	28.09%	58151	45.76%	2326.04	10	2	2.25%	73	0.06%	36.5	2	1	1.12%	55	0.04%	55.0	1	62	69.66%	123804	97.43%	1996.84	19	16	17.98%	2146	1.69%	134.12	7	11	12.36%	1119	0.88%	101.73	8	64	71.91%	76685	60.35%	1198.2	18	60	74.07%	2060.62	12	14.81%	164.58	60	74.07%	1274.6	3	50.0%	71.0	3	50.0%	45.67	3	50.0%	40.67
gws	>0	3814	12872	3.37	429	55	19	10	361	1089	28.55%	4.71	281	7.37%	3.42	45	1.18%	2214	17.2%	49.2	20	46	1.21%	1783	13.85%	38.76	14	16	0.42%	88	0.68%	5.5	11	38	1.0%	213	1.65%	5.61	33	2418	63.4%	8885	69.03%	3.67	417	894	23.44%	2558	19.87%	2.86	331	502	13.16%	1429	11.1%	2.85	252	1037	27.19%	4889	37.98%	4.71	337	718	65.93%	5.68	240	22.04%	2.85	364	33.43%	8.34	129	45.91%	3.45	116	41.28%	3.73	113	40.21%	3.04
gws	>1	3316	12374	3.73	428	55	19	10	360	754	22.74%	6.36	218	6.57%	4.11	41	1.24%	2210	17.86%	53.9	18	37	1.12%	1774	14.34%	47.95	13	12	0.36%	84	0.68%	7.0	9	36	1.09%	211	1.71%	5.86	32	2106	63.51%	8573	69.28%	4.07	416	773	23.31%	2437	19.69%	3.15	323	437	13.18%	1364	11.02%	3.12	244	891	26.87%	4743	38.33%	5.32	334	497	65.92%	7.76	167	22.15%	3.66	261	34.62%	11.23	99	45.41%	4.19	91	41.74%	4.48	89	40.83%	3.58
gws	>2	1284	8310	6.47	363	53	18	10	298	351	27.34%	11.38	86	6.7%	7.36	37	2.88%	2202	26.5%	59.51	17	28	2.18%	1756	21.13%	62.71	12	9	0.7%	78	0.94%	8.67	7	32	2.49%	203	2.44%	6.34	30	833	64.88%	6027	72.53%	7.24	316	281	21.88%	1453	17.48%	5.17	168	170	13.24%	830	9.99%	4.88	123	332	25.86%	3625	43.62%	10.92	168	238	67.81%	14.03	74	21.08%	5.76	130	37.04%	20.53	37	43.02%	7.86	42	48.84%	7.38	33	38.37%	6.27
